word,translation
ich,I
sie,she
das,the
ist,is
du,of
nicht,not
die,die
es,es
und,and
der,the
wir,we
was,was
zu,to
er,is
ein,a
in,in
ja,and
mir,mir
mit,with
wie,How
den,the
mich,mich
auf,on
dass,that
aber,but
eine,one
so,so
hat,hat
hier,here
haben,have
für,for
sind,are
war,war
von,von
wenn,if
dich,you
ihr,her
nein,no
habe,have
an,an
bin,bin
noch,still
nur,only
da,and
dir,dir
sich,itself
einen,a
uns,us
hast,hast
dem,dem
kann,can
gut,gut
auch,also
schon,already
als,as
sein,be
mal,mal
jetzt,now
ihn,him
dann,then
aus,out of
meine,mine
um,one
im,im
wird,becomes
mein,mein
bist,are
doch,but
alles,everything
weiß,white
keine,no
oder,or
nach,after
s,s
nichts,nothing
man,man
muss,must
werden,become
will,will
ihnen,them
geht,goes
wo,wo
etwas,something
oh,oh
mehr,more
bei,at
also,also
bitte,please
immer,always
hab,hab
warum,Why
vor,before
los,los
können,can
wieder,again
sagen,say
machen,make
danke,Thanks
sehr,very
alle,at
mann,mann
tun,again
ihm,him
zum,for the
gehen,go
sehen,see
vielleicht,perhaps
einem,one
wer,wer
ihre,her
diese,this
euch,you
einer,one
komm,come on
über,above
gibt,gives
okay,okay
wissen,knowledge
deine,your
müssen,must
soll,should
werde,become
nie,NO
wirklich,really
hey,hey
kein,no
viel,much
weg,away
würde,would
tut,tut
am,am
des,of the
einfach,simply
leben,life
zeit,time
weil,weil
willst,want
kommen,come
dein,your
heute,today
kommt,comes
wollen,want
damit,with it
ganz,quite
wäre,were
wollte,wanted
weißt,know
ok,ok
sicher,secure
gesagt,said
nun,nun
bis,bis
wurde,became
leid,sorrow
na,already
kannst,can
macht,might
dieser,this
zurück,back
lassen,let
hallo,hallo
meinen,mean
gott,good
seine,seine
hätte,would have
zwei,two
genau,Exactly
waren,were
zur,to
lass,lass
klar,clear
morgen,morning
leute,people
vater,father
schön,schön
glaube,believe
mr.,mr.
ab,ab
gerade,straight
tag,tag
gesehen,seen
reden,rode
wohl,probably
liebe,love
sollte,should
sagte,said
unsere,our
jemand,someone
geld,money
durch,through
ob,ob
keinen,none
raus,out
gemacht,made
paar,pair
mach,mach
passiert,happened
dachte,thought
besser,better
musst,must
wieso,how come
sir,sir
dieses,this
selbst,himself
gehört,heard
möchte,want
ohne,without
hör,hear
her,her
sag,sag
meiner,mine
anderen,others
helfen,help
nacht,night
finden,find
diesen,this one
gute,good
wirst,will
lange,lange
natürlich,naturally
ach,ach
meinem,my
gar,gar
ins,ins
sei,be
dort,there
weiter,further
geben,give
seit,since
gleich,even
sagt,says
recht,right
ihren,your
richtig,correct
ordnung,order
vom,from the
hören,hear
sieht,sees
davon,of that
dafür,for that
geh,go
diesem,this one
hause,home
sollten,should
mädchen,girl
hin,hin
sollen,should
abend,abend
haus,haus
denke,think
viele,many
drei,three
freund,freund
guten,good
unser,our
warte,worth
machst,do
menschen,people
essen,essen
angst,angst
bleiben,remain
zusammen,together
welt,welt
unter,under
habt,have
schnell,fast
andere,Others
tot,until
getan,did
darf,may
erst,first
rein,rein
stimmt,true
nehmen,take
kinder,kinder
eines,one
glauben,believe
ganze,whole
genug,enough
scheiße,Fuck
brauchen,need
gegen,against
moment,moment
junge,boy
steht,stands
sonst,otherwise
musik,music
arbeit,work
seid,seid
ihrer,of their
fragen,questions
herr,herr
dabei,included
heißt,is called
familie,family
warten,wait
niemand,nobody
sofort,immediately
bevor,before
jahre,years
einmal,once
problem,problem
sohn,sohn
wann,if
brauche,need
fertig,complete
halt,halt
allein,alone
beim,at the
sprechen,speak
beide,both
gefunden,found
hatten,had
sache,matter
hilfe,help
verdammt,damned
ne,it is
jeder,everyone
warst,were
gern,gladly
konnte,could
darüber,about it
halten,hold
siehst,see
verstehe,understand
jahren,years
kam,came
kind,kind
wusste,knew
wahr,true
seinen,his
dazu,in addition
bruder,brother
daran,to it
ihrem,theirs
denken,think
könnten,could
dank,dank
würden,would
lieber,lieber
fall,fall
deiner,yours
sehe,see
egal,doesn't matter
kennen,know
deinem,yours
vergessen,forget
frage,ask
mache,mache
komme,come
sage,sage
mag,mag
sieh,see
echt,Real
gib,gib
eigentlich,actually
jeden,one
dad,dad
gab,gab
uhr,clock
stadt,city
männer,men
baby,baby
fahren,drive
namen,names
bekommen,receive
kopf,kopf
hi,hi
gehe,go
kleine,little
später,later
glück,happiness
letzte,last
freunde,friends
n,n
all,all
ende,end
dr.,dr.
bald,bald
töten,kill
dinge,things
meinst,mean
toll,toll
eins,like
minuten,minutes
vielen,many
bereit,ready
weit,far
ahnung,idea
seiner,his
bisschen,a little
tür,type
auto,auto
jungs,guys
eure,your
augen,eyes
polizei,police
sterben,die
hätten,would have
draußen,outside
fast,fast
runter,down
vorbei,over
treffen,meet
gerne,Gladly
dran,your turn
wurden,became
arbeiten,work
